,Symbol,priceEarningsRatio,returnOnEquity,priceEarningsToGrowthRatio,priceToSalesRatio,priceToBookRatio,debtEquityRatio,priceToFreeCashFlowsRatio,EPS,dividendPayoutRatio,Dividend Yield,Net Profit Margin,debtRatio,Dividends per Share Growth,10Y Dividend per Share Growth (per Share),5Y Dividend per Share Growth (per Share),3Y Dividend per Share Growth (per Share),Sector,2016 PRICE VAR [%],intercept
0,PG,31.296,0.1116,26.497322036367997,3.0003,0.0,0.4813,19.524,2.5,1.0356736782263,0.0332,0.0995,0.2343,0.06,0.0968,0.0757,0.0669,Consumer Defensive,10.809451225737083,1
1,VIPS,36.0652,0.4492,1.1117374571632,0.0443,,1.1735,0.0,0.4234,-0.0,0.0,0.0395,0.2073,0.0,,,,Consumer Defensive,-21.63701011091605,1
2,KR,20.023,0.3193,18.409361979167,0.3156,14.4487,2.1428,24.6951,1.74,0.19560185185185,0.0098,0.0159,0.3803,0.1075,0.0,0.1331,0.1651,Consumer Defensive,-15.036503138433735,1
3,RAD,3.7604,36.9667,3.7985052575583,0.302,0.0,97.4326,36.0675,43.4,-0.0,0.0,0.0795,0.6333,0.0,0.0,0.0,0.0,Consumer Defensive,4.303799399846716,1
4,GIS,27.8663,0.2444,23.644608820387997,1.9032,0.0,1.8395,18.222,2.02,0.83329239335135,0.0297,0.0693,0.421,0.0774,0.1042,0.1171,0.1103,Consumer Defensive,10.69317245001439,1
5,PM,19.8891,-0.519,17.123087424022998,1.8428,0.0,-2.1504,19.7246,4.42,0.90935544885785,0.046,0.093,0.8387,0.0412,0.0,0.1061,0.0763,Consumer Defensive,10.865590267752056,1
6,KO,25.4201,0.2877,22.834649761936998,4.218,131.025,1.7264,23.1963,1.69,0.7809821792953299,0.0307,0.166,0.4902,0.08199999999999999,0.0895,0.0845,0.0897,Consumer Defensive,0.9589586364282942,1
7,WMT,16.9053,0.201,14.991005805781,0.5688,4.37,0.6163,16.3233,5.07,0.37798692171362,0.0224,0.0337,0.2465,0.0213,0.1395,0.1199,0.0956,Consumer Defensive,15.72912116448004,1
8,MDLZ,9.9866,0.2594,9.1900766155022,2.4044,0.0,0.5497,31.3361,4.49,0.1387092335214,0.0143,0.2452,0.245,0.1034,-0.0302,-0.1121,-0.6558,Consumer Defensive,2.9766290907913966,1
9,MO,21.8015,1.8198,18.969395892241,4.4873,0.0,4.4608,20.3297,2.67,0.79736691471093,0.0373,0.2061,0.4084,0.085,-0.0338,0.0825,0.0848,Consumer Defensive,22.15778008444545,1
10,ABEV,22.2889,0.2571,5.1431511167482,1.5003,,0.0745,3.4818,0.2001,0.92485390943191,0.0125,0.2659,0.0399,-0.5393,,,-0.239,Consumer Defensive,19.04743594414691,1
11,TAL,36.9764,0.2144,12.160816100083,1.8816,,0.7216,7.0093,0.14,-0.0,0.0695,0.1547,0.2927,0.0286,,0.0,0.0,Consumer Defensive,55.30218837633548,1
12,BRFS,14.6756,0.2302,3.6955226805931,0.3721,,1.2592,5.065,0.9417,0.28577397788638,0.0091,0.0966,0.4214,-0.0726,0.1257,0.0347,0.6667,Consumer Defensive,10.830041857956784,1
13,NWL,33.9077,0.192,30.524231685714003,1.9903,0.0,1.6775,31.116,1.3,0.58942857142857,0.0172,0.0592,0.4212,0.1515,-0.01,0.306,0.2091,Consumer Defensive,4.493916078788673,1
